authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,type_mapping,packet
"Daw MI, Tricoire L, Erdelyi F, Szabo G, McBain CJ",19741117,PMC2762613,NIHMSID148304,10.1523/JNEUROSCI.5760-08.2009,,1,11112,11122,Asynchronous transmitter release from cholecystokinin-containing inhibitory interneurons is widespread and target-cell independent,2009 Sep 9,J Neurosci,29,"4013: CA1:BiC-TriC: bistratified cells, BSC, trilaminar cell",1
"Ujfalussy B, Kiss T, Erdi P",19750211,PMC2730574,,10.1371/journal.pcbi.1000500,,1,,,Parallel computational subunits in dentate granule cells generate multiple place fields,2009 Sep,PLoS Comput Biol,5,,0
"Larimer P, Strowbridge BW",20037579,PMC2840722,NIHMSID165657,10.1038/nn.2458,,1,213,222,Representing information in cell assemblies: persistent activity mediated by semilunar granule cells,2010 Feb,Nat Neurosci,13,1001: DG:SGC: Dentate gyrus semilunar granule cell,1
"Fuentealba P, Klausberger T, Karayannis T, Suen WY, Huck J, Tomioka R, Rockland K, Capogna M, Studer M, Morales M, Somogyi P",20130170,,,10.1523/JNEUROSCI.4199-09.2010,,,1595,1609,Expression of COUP-TFII nuclear receptor in restricted GABAergic neuronal populations in the adult rat hippocampus,2010 Feb 3,J Neurosci,30,4000: CA1:PC: CA1 pyramidal cell ### 4011: CA1:NGF_proj: CA1 neurogliaform cells ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4008: CA1:RADI: radiatum- and dentate-innervating interneuron ### 4008: CA1:RADI: RADI,1
"Tricoire L, Pelkey KA, Daw MI, Sousa VH, Miyoshi G, Jeffries B, Cauli B, Fishell G, McBain CJ",20147544,PMC2825142,NIHMSID176999,10.1523/JNEUROSCI.5123-09.2010,,1,2165,2176,Common origins of hippocampal Ivy and nitric oxide synthase expressing neurogliaform cells. ,2010 Feb 10,J Neurosci,30,,0
"Snider J, Pillai A, Stevens CF",20399728,,NIHMSID199494,10.1016/j.neuron.2010.02.013,,1,45,56,A universal property of axonal and dendritic arbors,2010 Apr 15,Neuron,66,,0
"Zemankovics R, Kali S, Paulsen O, Freund TF, Hajos N",20421280,PMC2905616,,10.1113/jphysiol.2009.185975,,1,2109,2132,Differences in subthreshold resonance of hippocampal pyramidal cells and interneurons: the role of h-current and passive membrane characteristics,2010 Jun 15,J Physiol,588,"4069: CA1:O-LM: CA1 OLM cells ### 4035: CA1:TH-ORP-DP-OR: CA1 oriens-radiatum cells, CA1 O-R cells ### 4039: CA1:BC-FSPTI: CA1 fast-spiking perisomatic region-targeting interneurons ### 4024: CA1:SR_O-LM: CA1 oriens-lacunosum-moleculare cell ### 4024: CA1:SR_O-LM: CA1 OLM cell",1
"Cerasti E, Treves A",20454678,PMC2861628,,10.1371/journal.pcbi.1000759,,1,,,How informative are spatial CA3 representations established by the dentate gyrus?,2010 Apr,PLoS Comput Biol,6,,0
"Chevaleyre V, Siegelbaum SA",20510860,PMC2905041,NIHMSID211734,10.1016/j.neuron.2010.04.013,,1,560,572,Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop,2010 May 27,Neuron,66,,0
"Lee SH, Foldy C, Soltesz I",20534847,PMC2904437,NIHMSID212077,10.1523/JNEUROSCI.6238-09.2010,,1,7993,8000,Distinct endocannabinoid control of GABA release at perisomatic and dendritic synapses in the hippocampus,2010 Jun 9,J Neurosci,30,"4015: CA1:SCA-ADI: CA1 Schaffer collateral-associated cells, CA1 SCA cells, CA1 SCA interneurons",1
"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",20554881,PMC2903457,NIHMSID213319,10.1523/JNEUROSCI.5602-09.2010,,1,8296,8307,Granule cells in the CA3 area,2010 Jun 16,J Neurosci,30,2001: CA3:GC: CA3 granule cell ### 2030: CA3:BiC-ivy: CA3 ivy cell ### 2036: CA3:MFA-1: CA3 mossy fiber-associated cell ### 2041: CA3:RSBC: CA3 CCK-positive regular spiking basket cells,1
"Karayannis T, Elfant D, Huerta-Ocampo I, Teki S, Scott RS, Rusakov DA, Jones MV, Capogna M",20660272,PMC3377669,,10.1523/JNEUROSCI.5883-09.2010,,1,9898,9909,Slow GABA transient and receptor desensitization shape synaptic responses evoked by hippocampal neurogliaform cells,2010 Jul 21,J Neurosci,30,"4012: CA1:NGF: CA1 neurogliaform cells, CA1 NGFC cells",1
"Quilichini P, Sirota A, Buzsaki G",20720120,PMC2937273,NIHMSID229548,10.1523/JNEUROSCI.1327-10.2010,,1,11128,11142,Intrinsic circuit organization and theta-gamma oscillation dynamics in the entorhinal cortex of the rat,2010 Aug 18,J Neurosci,30,6095: EC:HOBIPPY: EC5 pyramidal cell,1
"Mercer A, Eastlake K, Trigg HL, Thomson AM",20882544,,,10.1002/hipo.20841,,,43,56,Local circuitry involving parvalbumin-positive basket cells in the CA2 region of the hippocampus,2012 Jan,Hippocampus,22,3007: CA2:BC_proj: CA2 basket cell with wide arbor ### 3006: CA2:BC: CA2 basket cell with wide arbor,1
"Beed P, Bendels MH, Wiegand HF, Leibold C, Johenning FW, Schmitz D",21172609,,,10.1016/j.neuron.2010.12.009,,,1059,1066,Analysis of excitatory microcircuitry in the medial entorhinal cortex reveals cell-type-specific differences,2010 Dec 22,Neuron,68,"6082: EC:excitatory: MEC layer II pyramidal cells, MEC L2Ps ### 6003: EC:SC_II: MEC layer 2 stellate cells, MEC L2Ss",1
"Armstrong C, Szabadics J, Tamas G, Soltesz I",21452204,,,10.1002/cne.22577,,,1476,1491,Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward gamma-aminobutyric acidergic modulators of entorhinal-hippocampal interplay,2011 Jun 1,J Comp Neurol,519,"1007: DG:NGF: Dentate gyrus neurogliaform cell, Dentate gyrus NGFC ### 1008: DG:MOPP-NGF: Dentate gyrus neurogliaform cell, Dentate gyrus NGFC",1
"Akdogan I, Kocamaz E, Kucukatay V, Yonguc NG, Ozdemir MB, Murk W",21511899,,,0,,,771,778,Hippocampal neuron number loss in rats exposed to ingested sulfite. ,2011 Oct,Toxicol Ind Health,27,,0
"Tricoire L, Pelkey KA, Erkkila BE, Jeffries BW, Yuan X, McBain CJ",21795545,PMC3163481,NIHMSID314764,10.1523/JNEUROSCI.0323-11.2011,,1,10948,10970,A blueprint for the spatiotemporal origins of mouse hippocampal interneuron diversity,2011 Jul 27,J Neurosci,31,4076: CA1:PPA: CA1 perforant path-associated interneuron ### 4069: CA1:O-LM: CA1 O-LM interneurons ### 2033: CA3:SLM: CA3 CGE-derived 5-HT3 transcript-expressing neurons ### 2034: CA3:ACA: CA3 associational commissural-associated interneurons ### 2037: CA3:MFA-3: CA3 mossy fiber-associated cells ### 4067: CA1:SO_O-LM: CA1 O-LM interneurons ### 4063: CA1:BC-2: CA1 CCK basket cells,1
"Canto CB, Witter MP",22161956,,,,,,1277,1299,Cellular properties of principal neurons in the rat entorhinal cortex. II. The medial entorhinal cortex,2011 Dec 7,Hippocampus,22,"6082: EC:excitatory: MEC LII stellate cells, MEC LII pyramidal neurons, MEC LII oblique pyramidal neurons ### 6002: EC:PC_V-DG-SUB: MEC layer V bipolar neuron ### 6003: EC:SC_II: MEC LII stellate cells ### 6006: EC:cmplx_PC_III_med: MEC LII complex pyramidal cells ### 6094: EC:FOMP: MEC layer I multipolar neurons ### 6017: EC:PC_III_sm: MEC LIII small spiny pyramidal neurons ### 6019: EC:OPC-SC_II: MEC layer II between oblique pyramidal and stellate cells ### 6085: EC:PC_V-DG: MEC LV superficial pyramidal neuron ### 6021: EC:PC_V_sm: MEC LV deep pyramidal neurons ### 6023: EC:PC_V: MEC superficial layer V pyramidal neuron ### 6024: EC:BPN_III: MEC layer V bipolar complex pyramidal neurons ### 6031: EC:MPN_III_med: MEC LIII multipolar principal neurons ### 6033: EC:MPN_V: MEC layer V multipolar neuron; MEC layer V tilted pyramidal neuron ### 6086: EC:MPN_V-VI: MEC layer VI multipolar neuron, medial entorhinal cortex multipolar LVI principal neuron ### 6052: EC:PC-PMC_V/VI: MEC LVI pyramidal neurons, MEC LVI horizontal pyramidal neurons, MEC LVI tilted pyramidal neurons ### 6026: EC:MPN_2_III: MEC layer III multipolar principal neurons",1
"Canto CB, Witter MP",22162008,,,,,,1256,1276,Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,2011 Dec 7,Hippocampus,22,"6082: EC:excitatory: LEC LII pyramidal neurons, LEC LIII complex pyramidal neurons ### 6007: EC:cmplx_PC_III_lat: LEC LII complex pyramidal neurons ### 6008: EC:PC-MFC_II: LEC LII multiform neurons ### 6094: EC:FOMP: LEC layer I multipolar neurons, LEC layer II oblique pyramidal neurons, LEC layer II fan neurons ### 6095: EC:HOBIPPY: LEC layer V bipolar pyramidal neuron, LEC superficial layer V pyramidal neuron ### 6092: EC:PC_III: EC layer III simple pyramidal neurons ### 6018: EC:SC_III: MEC LIII stellate cells ### 6025: EC:MPN_III_lat: LEC LIII multipolar neurons ### 6078: EC:MPN-2_VI: LEC layer VI tilted pyramidal to multipolar neuron ### 6086: EC:MPN_V-VI: LEC deep layer V pyramidal neuron; LEC layer V tilted pyramidal neuron; LEC layer V multipolar neuron, LEC layer VI multipolar and tilted pyramidal principal neuron, LEC layer VI multipolar to tilted pyramidal principal neuron",1
"Miettinen R, Hajszan T, Riedel A, Szigeti-Buck K, Leranth C",22230770,,,10.1016/j.jneumeth.2011.12.017,,,130,138,Estimation of the total number of hippocampal CA1 pyramidal neurons: new methodology applied to helpless rats,2012 Mar 30,J Neurosci Methods,205,,0
Santhakumar V,9780123736499,,,,,,89,111,Modeling circuit alterations in epilepsy: A focus on mossy cell loss and mossy fiber sprouting in the dentate gyrus,38045,Computational neuroscience in epilepsy,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells,1
"Amaral D, Lavenex P",9780195100273,,,,,,35,112,Hippocampal Neuroanatomy,2007,The Hippocampus Book,,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1035: DG:BC: Dentate gyrus pyramidal basket cells, Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell, Dentate gyrus long-spined multipolar cell ### 2000: CA3:PC-ab: CA3 pyramidal neuron ### 2030: CA3:BiC-ivy: CA3 bistratified cell ### 3000: CA2:PC: CA2 pyramidal cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4013: CA1:BiC-TriC: radial trilaminar cell ### 4037: CA1:BC: CA1 basket, CA1 pyramidal basket, CA1 stellate basket, CA1 fusiform basket ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar horizontal ### 5001: SUB:PC-EC: subicular pyramidal cell ### 5005: SUB:PC-CA1: subicular pyramidal cell ### 6082: EC:excitatory: EC layer II stellate cells ### 6003: EC:SC_II: EC layer II spiny stellate neurons",1
"Spruston N, McBain C",9780195100273,,,,,,131,200,Chapter 5: Structural and functional properties of hippocampal neurons,2007,The Hippocampus Book,,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1036: DG:BC: Dentate gyrus pyramidal basket cells, Dentate gyrus basket cells ### 1010: DG:AA: Dentate gyrus chandelier cells ### 2000: CA3:PC-ab: CA3 pyramidal neuron, pyramidal cell located in mid CA3, pyramidal cell located in distal CA3, CA3a pyramidal cell, CA3b pyramidal cell ### 2004: CA3:PC-c: CA3 pyramidal neuron ### 4069: CA1:O-LM: CA1 O-LM cells ### 5001: SUB:PC-EC: subicular pyramidal neuron ### 5005: SUB:PC-CA1: subicular pyramidal neuron ### 6082: EC:excitatory: EC stellate cells of layer II ### 6003: EC:SC_II: MEC stellate cells of layer II ### 6092: EC:PC_III: EC layer III pyramidal neurons, EC layer III type 1 pyramidal cells",1
Somogyi P,9780195389883,,,,,,148,164,Chapter: Hippocampus źĺĺŰÄ_ĺŰ__ĺŰź__ĺŰźźĺ_ĺŰźźĺĺŰźźĺźĺĺŰÄ_ĺŰ__ĺŰĺ_ĚÁźĺĺŰÄ_ĺŰźźĺĺŰ_ĺŰĺźĺĺŰÄ_ĺŰ__ĺŰź__źĺĺŰÄ_ĺŰźźĺĺŰ_ĺŰĺźĺĺŰÄ_ĺŰźźĺĺŰ_ĺŰĺ ĺŰ__ĺŰĺ_ĚÁĺŰ__ĺŰź___źĺĺŰÄ_ĺŰ__ĺŰĺ_ĚÁźĺĺŰÄ_ĺŰ__ĺŰź__źĺĺŰÄ_ĺŰ__ĺŰź__źĺĺŰÄ_ĺŰźźĺĺŰ_ĺŰĺźĺĺŰÄ_ĺŰźźĺĺŰ_ĺŰĺ ĺŰźźĺĺŰ_źĺ_źĺĺŰÄ_ĺŰ__ĺŰź__źĺĺŰÄ_ĺŰ__ĺŰź_ ĺŰźźĺĺŰ_źĺźĺĺŰÄ_ intrinsic organisation,38981,Handbook of Brain Microcircuits,,"4000: CA1:PC: CA1 pyramidal cell ### 4006: CA1:PPA-SUB: perforant path associated ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4015: CA1:SCA-ADI: CA1 Schaffer collateral-associated cell, CA1 apical dendrite innervating cells ### 4037: CA1:BC: CA1 basket PV, CA1 basket VIP, CA1 basket VGLUT3 ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4020: CA1:quad_IS-3: CA1 interneuron specific III, CA1 IN spec-III ### 4021: CA1:IS-2: CA1 interneuron specific-II ### 4023: CA1:BP: CA1 back-projection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 ivy cells ### 4041: CA1:ENK: CA1 enkephalin expressing cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar, CA1 oriens-retrohippocampal cells, CA1 double projection cells ### 4039: CA1:BC-FSPTI: CA1 basket cells",1
Witter MP,9781441909954,,,,,,5,26,Connectivity of the Hippocampus,38775,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 2000: CA3:PC-ab: more distal CA3 pyramidal cells ### 2004: CA3:PC-c: pyramidal cell in the most proximal portion of CA3 ### 4000: CA1:PC: CA1 pyramidal cell,1
"Morgan RJ, Soltesz I",9781441909954,,,,,,495,526,Microcircuit Model of the Dentate Gyrus in Epilepsy,38775,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells,1
Vida I,9781441909954,,,,,,27,68,Morphology of Hippocampal Neurons,38775,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1005: DG:TML-MOLAX: Dentate gyrus total molecular layer interneuron ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus fast-spiking PV-BCs ### 1013: DG:HIPP: Dentate gyrus HIPP cell ### 2000: CA3:PC-ab: CA3 pyramidal cell ### 2004: CA3:PC-c: CA3c pyramidal cell ### 2028: CA3:AA: CA3 axo-axonic cells, CA3 AACs ### 2035: CA3:MFA-2: CA3 mossy fiber-associated interneurons ### 2020: CA3:TriC: CA3 trilaminar cell ### 3000: CA2:PC: CA2 pyramidal cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4005: CA1:NGF-LM: CA1 neurogliaform interneuron, CA1 NG cell ### 4006: CA1:PPA-SUB: perforant path-associated ### 4037: CA1:BC: CA1 basket ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4020: CA1:quad_IS-3: CA1 interneuron-specific interneuron Type III, CA1 IS-III ### 4021: CA1:IS-2: CA1 interneuron specific Type II interneurons, CA1 IS-II cells ### 4023: CA1:BP: CA1 back-projection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 ivy cells ### 4028: CA1:SCA-SR-CB: CA1 Schaffer collateral-associated cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar",1
"Gloveli T, Kopell N, Dugladze T",9781441909954,,,,,,247,276,Neuronal Activity Patterns During Hippocampal Network Oscillations In Vitro,38775,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,"2008: CA3:R-LM: CA3 R-LM cell ### 2009: CA3:O-LM: CA3 O-LM cell ### 2020: CA3:TriC: CA3 trilaminar cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4037: CA1:BC: CA1 basket, CA1 basket PV ### 4026: CA1:BiC-ivy: CA1 ivy cells",1
"Bartos M, Sauer JF, Vida I, Kulik A",9781441909954,,,,,,129,162,Fast and Slow GABAergic Transmission in Hippocampal Circuits,38775,Hippocampal Microcircuits: A Computational Modeler's Resource Book,,"1004: DG:TML: Dentate gyrus total molecular layer cell ### 1033: DG:BC: Dentate gyrus basket cells ### 2035: CA3:MFA-2: CA3 mossy fiber-associated interneurons ### 4000: CA1:PC: CA1 pyramidal cell ### 4012: CA1:NGF: CA1 neurogliaform cells, CA1 NG cells ### 4069: CA1:O-LM: CA1 O-LM cells",1
"Hu H, Martina M, Jonas P",19965717,,,,,,52,58,Dendritic mechanisms underlying rapid synaptic activation of fast-spiking hippocampal interneurons. ,2010 Jan 1,Science,327,,0
"Routh BN, Johnston D, Harris K, Chitwood RA",19675296,,,,,,2288,2302,Anatomical and electrophysiological comparison of CA1 pyramidal neurons of the rat and mouse. ,2009 Oct,J Neurophysiol,102,,0
"Shepherd GM, Grillner S",9780195389883,,,,,,,,Handbook of Brain Microcircuits,38981,,,,1
"Baude A, Nusser Z, Roberts JD, Mulvihill E, McIlhinney RA, Somogyi P",8104433,,,,,,771,787,The metabotropic glutamate receptor (mGluR1 alpha) is concentrated at perisynaptic membrane of neuronal subpopulations as detected by immunogold reaction. ,1993 Oct,Neuron,11,,
"Boscia F, Ferraguti F, Moroni F, Annunziato L, Pellegrini-Giampietro DE",18599092,,,,,,428,439,mGlu1alpha receptors are co-expressed with CB1 receptors in a subset of interneurons in the CA1 region of organotypic hippocampal slice cultures and adult rat brain. ,2008 Sep,Neuropharmacology,55,,
"Ferraguti F, Cobden P, Pollard M, Cope D, Shigemoto R, Watanabe M, Somogyi P",15098725,,,,,,193,215,Immunolocalization of metabotropic glutamate receptor 1alpha (mGluR1alpha) in distinct classes of interneuron in the CA1 region of the rat hippocampus. ,2004,Hippocampus,14,,
"Yanovsky Y, Sergeeva OA, Freund TF, Haas HL",9044377,,,,,,87,96,Activation of interneurons at the stratum oriens/alveus border suppresses excitatory transmission to apical dendrites in the CA1 area of the mouse hippocampus. ,1997 Mar,Neuroscience,77,,
"Kreuzberg MM, Deuchars J, Weiss E, Schober A, Sonntag S, Wellershaus K, Draguhn A, Willecke K",17942321,,,,,,119,134,Expression of connexin30.2 in interneurons of the central nervous system in the mouse. ,2008 Jan,Mol Cell Neurosci,37,,
"Iball J, Ali AB",22125513,,,,,,,,Endocannabinoid Release Modulates Electrical Coupling between CCK Cells Connected via Chemical and Electrical Synapses in CA1. ,2011,Front Neural Circuits,5,,
"Klausberger T, Marton LF, Baude A, Roberts JD, Magill PJ, Somogyi P",14634650,,,,,,41,47,Spike timing of dendrite-targeting bistratified cells during hippocampal network oscillations in vivo. ,2004 Jan,Nat Neurosci,7,,
"Oren I, Nissen W, Kullmann DM, Somogyi P, Lamsa KP",19176803,,,,,,939,950,Role of ionotropic glutamate receptors in long-term potentiation in rat hippocampal CA1 oriens-lacunosum moleculare interneurons. ,2009 Jan 28,J Neurosci,29,,
"Drexel M, Preidt AP, Kirchmair E, Sperk G",21616128,,,,,,316,329,Parvalbumin interneurons and calretinin fibers arising from the thalamic nucleus reuniens degenerate in the subiculum after kainic acid-induced seizures. ,2011 Aug 25,Neuroscience,189,,
"Holter NI, Zuber N, Bruehl C, Draguhn A",17996219,,,,,,56,64,Functional maturation of developing interneurons in the molecular layer of mouse dentate gyrus. ,2007 Dec,Brain Res,1186,,
"Tsou K, Mackie K, Sanudo-Pena MC, Walker JM",10473261,,,,,,969,975,Cannabinoid CB1 receptors are localized primarily on cholecystokinin-containing GABAergic interneurons in the rat hippocampal formation. ,1999,Neuroscience,93,,
"Tsou K, Brown S, Sanudo-Pena MC, Mackie K, Walker JM",9460749,,,,,,393,411,Immunohistochemical distribution of cannabinoid CB1 receptors in the rat central nervous system. ,1998 Mar,Neuroscience,83,,
"Ratzliff AD, Soltesz I",11246149,,,,,,337,349,"Differential immunoreactivity for alpha-actinin-2, an N-methyl-D-aspartate-receptor/actin binding protein, in hippocampal interneurons. ",2001,Neuroscience,103,,
"Podlogar M, Dietrich D",16584711,,,,,,95,101,Firing pattern of rat hippocampal neurons: a perforated patch clamp study. ,2006 Apr 26,Brain Res,1085,,
"Freund TF, Hajos N, Acsady L, Gorcs TJ, Katona I",9383204,,,,,,1815,1830,Mossy cells of the rat dentate gyrus are immunoreactive for calcitonin gene-related peptide (CGRP). ,1997 Sep,Eur J Neurosci,9,,
"LeBeau FE, El Manira A, Griller S",16112755,,,,,,552,561,Tuning the network: modulation of neuronal microcircuits in the spinal cord and hippocampus. ,2005 Oct,Trends Neurosci,28,,
"Henze DA, Buzsaki G",17765720,,,,,,199,216,Hilar mossy cells: functional identification and activity in vivo. ,2007,Prog Brain Res,163,,
"Kirson ED, Yaari Y",10864941,,,,,,4844,4854,Unique properties of NMDA receptors enhance synaptic excitation of radiatum giant cells in rat hippocampus. ,2000 Jul 1,J Neurosci,20,,
"Elfant D, Pal BZ, Emptage N, Capogna M",18184315,,,,,,104,113,Specific inhibitory synapses shift the balance from feedforward to feedback inhibition of hippocampal CA1 pyramidal cells. ,2008 Jan,Eur J Neurosci,27,,
"Martina M, Vida I, Jonas P",10634782,,,,,,295,300,Distal initiation and active propagation of action potentials in interneuron dendrites. ,2000 Jan 14,Science,287,,
Scharfman HE,8589793,,,,,,287,305,Electrophysiological diversity of pyramidal-shaped neurons at the granule cell layer/hilus border of the rat dentate gyrus recorded in vitro. ,1995,Hippocampus,5,,
"Buckmaster PS, Strowbridge BW, Schwartzkroin PA",8283200,,,,,,1281,1299,A comparison of rat hippocampal mossy cells and CA3c pyramidal cells. ,1993 Oct,J Neurophysiol,70,,
"Calixto E, Galvan EJ, Card JP, Barrionuevo G",18388134,,,,,,2695,2712,Coincidence detection of convergent perforant path and mossy fibre inputs by CA3 interneurons. ,2008 Jun 1,J Physiol,586,,
"Dugladze T, Schmitz D, Whittington MA, Vida I, Gloveli T",22700932,,,,,,1458,1461,Segregation of axonal and somatic activity during fast network oscillations. ,2012 Jun 15,Science,336,,
"Moore SJ, Throesch BT, Murphy GG",21697442,,,,,,1570,1580,Of mice and intrinsic excitability: genetic background affects the size of the postburst afterhyperpolarization in CA1 pyramidal neurons. ,2011 Sep,J Neurophysiol,106,,
